date,price,drawdown_pct,layer_triggered
2025-01-31,401.53,17.8,2
2025-02-03,386.68,20.8,3
2025-02-04,382.63,21.7,3
2025-02-05,387.51,20.7,3
2025-02-06,373.03,23.6,3
2025-02-07,370.19,24.2,3
2025-02-10,356.21,27.1,3
2025-02-11,345.8,29.2,3
2025-02-12,329.94,32.5,3
2025-02-13,345.0,29.4,3
2025-02-14,360.62,26.2,3
2025-02-17,355.01,27.3,3
2025-02-18,354.0,27.5,3
2025-02-19,361.51,26.0,3
2025-02-20,353.44,27.7,3
2025-02-21,338.14,30.8,3
2025-02-24,327.03,33.1,3
2025-02-25,303.72,37.8,4
2025-02-26,291.16,40.4,4
2025-02-27,279.5,42.8,4
2025-02-28,300.34,38.5,4
2025-03-03,270.93,44.5,4
2025-03-04,272.92,44.1,4
2025-03-05,272.06,44.3,4
2025-03-06,259.32,46.9,4
2025-03-07,252.54,48.3,4
